Year;Node;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility
2200;24;0.0087757531792952443;0.3458861484684661;0.010385628367585253;0.57555323196629327;15.020774797901929;108.8369162845692;0.0089146453233928356;0.34824682953829011;0.010414011076147709;0.5755710336353711;15.011082921235381;108.80539244968546
2200;25;0.01249002345306848;0.42033522805429158;0.02249903475697345;0.57854602561760426;14.289893041403323;103.86316239684163;0.013884783894674776;0.38471524656227274;0.025516723551926402;0.5791586274828574;14.182735048039442;102.88492961299582
2200;26;0.0029608435239857414;0.26848746458210115;0.021693842254945795;0.57607288914440125;14.839238705944442;107.94304843537047;0.0038800746970912596;0.24800677304419594;0.015269917575754337;0.57718811688892147;14.896029833745644;106.14983108010607
2200;27;0.02074153168446978;0.23581609658904767;0.035537899469327873;0.58173212559500975;13.784934404098045;98.895255569288011;0.021673157471637939;0.22669638140229154;0.03595750771636981;0.58185829506690012;13.764908701562787;98.703938210634718
2200;28;0.0044643003493404793;0.15453754869074743;0.0058630468248552737;0.57941017054543842;14.872884603691414;102.64587552561603;0.0042092744787257741;0.14780005810699492;0.011030997209801136;0.57926971565765129;14.786421491387962;102.8447958821401
2200;29;0.0056178722722764994;0.094014390535157588;0.0039025298989178656;0.580372527315831;14.81677292484139;101.15875026157563;0.0057440463026312994;0.080274101168065215;0.002964856564884467;0.58055195466020193;14.815699083097341;100.88609171316659
2200;30;0.00064851062711729802;0.043070650503551633;0.0015161916450637104;0.57602767077122385;15.359640552787665;108.13172144242257;0.00062308897581446606;0.036021945540554157;0.001146558733887227;0.57606678042589543;15.358516239876945;108.06745590817032
2300;31;0.021173227411517805;2.9261398002354611;0.0019285687830143971;0.52043441151998837;63.156320066126959;273.62406203363611;0.021915667695595782;2.9477988000920163;0.0019279514779710811;0.52043442530630946;63.159865047491458;273.6244460866892
2300;32;0.003492593659283135;0.85242269892518152;0.0018539078906954576;0.51756180041230149;65.822525506672136;287.5287329345436;0.0036147124260621265;0.87015816500439769;0.0018546122651147922;0.51756154514918595;65.825955369655759;287.53040884865555
2300;33;0.0035733220299998844;1.9334497308506116;0.0019617076325712424;0.51761703750347954;65.983373180295374;287.28118245499115;0.0037030637180162536;2.0012904981456359;0.0019684261361507392;0.51762167071164389;65.991298540738484;287.25972035514877
2300;34;0.001380528510971704;0.47476897472904511;0.0018960527307282922;0.51619489830893373;67.676268828610318;294.48834209966265;0.0014280419207091766;0.53483202488848747;0.0019068608618119419;0.51619645104416334;67.686511600110165;294.48190091541233
2300;35;0.0033583607312281166;2.1522499683698015;0.001959395383223339;0.51778833065539298;65.693572780305189;286.41508872404887;0.0036762787051403795;2.2797726896499171;0.0019523020623649098;0.51780732419026598;65.662291848098945;286.31932964100929
2300;36;0.0012277696992816585;0.55590822569087095;0.001893865813676695;0.51629191397809249;67.501197109202252;293.9829819922349;0.0013358293034220401;0.62258078172590103;0.0018898205590203354;0.51630271298784525;67.482397503395845;293.92687235371943
2300;37;0.0028764399061095439;3.8936584696571686;0.0051842105489460283;0.51898465380951542;65.449842050234949;280.66694573010147;0.0013336235028710277;1.3972797022617556;0.0020007904029215209;0.51634917624014831;67.575605482838071;293.70766598047618
2300;38;0.00068517265551477078;2.068502820827689;0.0052208279925780726;0.51671208890968867;67.650946022587505;291.91954138025363;0.00069715691657450856;0.14714156120021471;0.0019582094750189298;0.51535853583058178;68.690626741318042;298.82009534005715
2300;39;0.0042232881405429943;2.3455116901615725;0.0019375264906832006;0.51815596366437044;65.089508047887435;284.56771447677221;0.0044217449118591663;2.2766581108271566;0.0019426044499715118;0.51814230815478579;65.09672590508309;284.63417066720797
2300;40;0.0013711925812461073;0.63205170693123591;0.001870771255978429;0.5165000946392545;67.143395953958503;292.90386420269675;0.0014422825313441183;0.57200991251562527;0.0018789448552368952;0.51649307740275563;67.141548987311282;292.938402343566
2300;41;0.0013049494621946549;1.4392813567695839;0.0019724854715659776;0.51654419898058113;67.235924504660105;292.69716424080349;0.0013730441867330413;1.4688516297781007;0.0019860372381552173;0.51654198588327593;67.24567573270663;292.7093590743782
2300;42;0.00063185365886013923;0.12025056890223595;0.0019204025348838083;0.51545083727800889;68.518099800565011;298.3310025255069;0.00066513192905949124;0.14638129605657468;0.0019374525624887467;0.51544877287891666;68.525489423237744;298.34238050258682
2300;43;0.0019876181958643512;3.6354512219944013;0.0030557504064041988;0.5186954343757133;64.865692835137295;281.96374108267622;0.001486046553555716;1.4803743635354749;0.0019460690821783691;0.51713620964209528;66.06991752993568;289.63456967046164
2300;44;0.00046193270191137122;2.0070811286856838;0.0028865446967881914;0.5165006422225743;67.412048014199556;292.93524264989679;0.00057575443330375544;-0.16907417893463617;0.0018809830768321796;0.51575027942689222;67.843110247934661;296.73530132090508
2300;45;0.0019547717541911029;1.6953177151457055;0.010666033156441554;0.52024677221403848;63.788109178755228;274.56717612347649;0.00096622608569708055;2.5632862628228281;0.0049439999278100824;0.51745787446314162;66.538741199491866;288.12456030676452
2300;46;0.00024255187342251089;0.93071052464495097;0.0097767600790713179;0.51690645406346791;66.901138711966681;290.86736650918908;0.00029880935362758791;1.1185177792796708;0.0048221372091390444;0.51562096560190118;68.422476815021156;297.45990653522557
2300;47;0.0050320259366134108;2.3238811390243086;0.0019364506346465501;0.51838543679459492;64.68251979329942;283.41708879238638;0.0051631435559700853;2.3321087080972802;0.0019350246084914511;0.51840289521024063;64.654182718105901;283.33008145944507
2300;48;0.0015175940615302333;0.57300592601592371;0.001871163969442027;0.51663184055531541;66.890753502090774;292.21974859937569;0.0015483466491068895;0.57822728501264464;0.0018711022235494859;0.51664171808539994;66.87402371643914;292.1688055823011
2300;49;0.0013732333470921469;1.492288550426224;0.0019699020498806382;0.51667837352918733;67.00011378394619;292.0037796384479;0.0013955227981011357;1.4644144761021494;0.0019639069341163733;0.51668574203376727;66.980817215452859;291.96494397876637
2300;50;0.00063059601422478257;0.12614543640410147;0.0019176269192595127;0.51551409964735961;68.397441757986229;297.99595621158585;0.00063916355958713921;0.10042463296286996;0.0019110322017993969;0.51551835325317019;68.384709269471045;297.97285571899414
2300;51;0.0024188235124247455;1.9797276487530269;0.0021370352215273375;0.51896795497774306;62.616599323052242;280.38372367997414;0.002772878887889877;1.6233485815277504;0.0022312578941142292;0.51940763380933563;61.631854440504199;278.1878628026638
2300;52;0.0004828253558284787;0.050802515985992613;0.0020792819027866242;0.51672105888258579;65.798778508401853;291.63908794328916;0.00048292591848215664;-0.40793734645916402;0.002182882472343568;0.51699445696221302;65.10167562130512;290.20405205963647
2300;53;0.00049292011640464102;1.3982050918414757;0.0021928444186691343;0.51676772513892955;65.980626168481152;291.43254720596309;0.0007701097271677139;1.5892290994585778;0.0038583468526457135;0.51857523114840143;64.226929270954216;282.45380059142497
2300;54;0.00018406990082489892;-0.25081143240868187;0.002036802382071848;0.51540419776815771;68.03137791617641;298.50491030027348;0.00014832855850389792;0.87094758541752526;0.0037890248995694539;0.51618522467304617;67.305396355500207;294.489385852743
2300;55;0.0046163492834998821;-0.3669227435743494;0.002590359577667086;0.52166643988778771;58.428069377770157;267.4205719216294;0.0048359321178924339;-0.29463409868313306;0.0025928293298919719;0.52180246184487988;58.348218311234881;266.80148526313116
2300;56;0.00039364872218082656;-1.1407095624221597;0.0025142782230302596;0.51825169519734049;63.104279655720376;283.85186963718508;0.00039928318238423717;-1.0535605072540477;0.0025645588874132989;0.51833416827654011;63.058908777812;283.45156119626688
2300;57;0.0010291663673972821;0.84465109732931865;0.0091561090080875141;0.52196074677023596;62.000091192802657;266.56760966569391;0.00095100470015463889;0.92384078408400683;0.0063993882861418929;0.52153251166667147;62.373826334882892;268.53325812097887
2300;58;7.1535823456931073e-05;0.45480046217818426;0.0056755808407570876;0.51772903392404801;66.149360516322218;286.7596192024514;7.3228091762690841e-05;0.49788077003825038;0.0062436113488677234;0.51747028073786538;66.219792652171904;288.0238824803962
2300;59;0.0013443592608717741;0.44242100451867827;0.015047434854102577;0.52320082752037811;60.755489502315456;260.94309202798394;0.0013913542781347882;0.3541443557310231;0.017465526402464425;0.52347239513800858;60.463711068968252;259.72617878793051
2300;60;6.6586672829471109e-05;0.22995758849049253;6.0947519905163396e-06;0.51845670258344378;66.057407561254209;283.25036831631633;5.95977820285082e-05;0.17946099580825603;0.0023290878510754849;0.51844351955067647;65.830681205829492;283.28496379835047
2300;61;0.0001417278311169465;0.18832860692299391;0.0014396503965659695;0.51846181306039396;65.90013842181628;283.20632721981247;0.00013678777591493007;0.14346701575078669;0.0020255453304094712;0.51851882821298445;65.806246720359695;282.92259289646819
2300;62;1.3088798876739537e-05;0.0015886413919474762;0.00018503100315918989;0.5146465757585903;69.560860228376853;302.56252776090759;1.2188703768318513e-05;-0.00095271752655889941;0.0003597402662563806;0.5146488749553747;69.548614979845254;302.54916489869828
