Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2300;32;0.0023252264198983306;0.52036270948540786;63.065652520941342;273.94221507135092;0.0030005836513668457;1.9913993295084254;0.0;0.11364439736498066;0.1265718591344249
2300;33;0.0028253427836650315;0.52081005408244763;63.034038847174521;271.88904721640307;0.0030100423180685959;2.1175643923534437;0.0;0.11281993139357092;0.12558819975748534
2300;34;0.001914614325205272;0.5176657975921376;66.157680196208219;287.06689720817428;0.0022564250173514795;1.259822071821759;0.0;0.11351877327866107;0.12642194491768699
2300;35;0.0028178990463565931;0.52096680974322918;62.70432398732801;271.13362164606502;0.0030203362780510312;7.0328220758838711;0.0;0.11310834910452103;0.12593224751620022
2300;36;0.0024963571691876433;0.51784762791049588;65.917624406799121;286.15704200968094;0.0022571976965414403;4.3036030056541108;0.0;0.11357300724780994;0.1264866638454307
2300;37;0.0021064919500317241;0.51749979161923187;66.103201487534733;287.86561396761761;0.0022024615984288869;1.8391394214674506;0.0;0.11394360326880999;0.12692896697943834
2300;38;0.00066787120518367138;0.51637635962503947;68.197166106549361;293.65089082398282;0.0019244017359939501;0.93713953381353576;0.0;0.11261765095872436;0.12534694179574446
2300;39;0.0017078957106619319;0.52453522422733434;57.336442320225927;254.76897130868952;0.003847096974888122;3.7921537068172029;0.0;0.11634870069369702;0.12980197334843724
2300;40;0.0021412525176919156;0.52057736340909166;62.425909451966007;272.87569923188488;0.0025264051305723552;2.561596399578292;0.0;0.114388655650442;0.12746027214888722
2300;41;0.0018493124476760983;0.51998303183546535;62.472243355676163;275.61888326102616;0.0024886490130839162;2.2477552859193395;0.0;0.11549239436056183;0.12877857083763899
2300;42;0.0016801645749241301;0.51714381248528218;66.036627808723281;289.59310954198503;0.0018637064025078761;1.3775650556468122;0.0;0.11477258101781239;0.12791872516175939
2300;43;0.012288296400590345;0.52798385645256452;56.348663465932326;240.4690833196116;0.0034989956848899503;1.136669697041981;0.0;0.11157664149309446;0.12410584177767468
2300;44;0.013241085123031533;0.52180751026281014;61.671512052772812;267.21105866691727;0.0020088762937697522;0.73593860023635216;0.0;0.11334732617955605;0.1262173671250662
2300;45;0.0084991741601631067;0.52153598162257331;61.958957955066829;268.46546952911382;0.0021376011964508563;0.73419979208892983;0.0;0.11335124988303999;0.12622204879802618
2300;46;0.031610165364523879;0.51814380337509114;64.379438954275159;284.53499328890854;0.0015731749641596713;0.40283476812561503;0.0;0.11570398671871922;0.12903140100114813
2300;47;0.0021569870190368558;0.52761840990614994;52.7378018227665;241.46092267224131;0.0047474728300867953;1.7278458764174331;0.0;0.12001912464119292;0.13419482989250359
2300;48;0.0021604802519389738;0.5219606378499454;59.251196538173737;266.21561419867425;0.0026396434429464344;1.2516648751088155;0.0;0.11769555104197381;0.13141275665869706
2300;49;0.0019956504027549269;0.52261304255998264;59.335802255149027;263.33702496869296;0.0028162114333477916;1.415576291837084;0.0;0.11620414808351695;0.12962917454848413
2300;50;0.0012866187685657787;0.51870171703356238;64.02017859406493;281.82605020367322;0.0018955402825473037;0.89850562062139261;0.0;0.11522863246546182;0.1284634511259036
2300;51;0.00076032180303191429;0.52583220238255413;58.196735273178149;249.43869091539966;0.0031865173550730506;1.1659366557509543;0.0;0.11208118890959029;0.1247072621265687
2300;52;0.0051555986343915349;0.52118238066166023;62.964688373480122;270.18784753671287;0.0020359684094975569;0.81082569299653073;0.0;0.11221603129537926;0.12486802775539006
2300;53;0.0022471807383679012;0.52124510872447705;62.659019301207422;269.86563461408929;0.0020978149022357006;0.99650835298632501;0.0;0.11264427396092924;0.12537869298957566
2300;54;0.0005268874606737;0.51751043393656115;66.612414126023651;287.87824664500062;0.0014777127746567996;0.54241219234540949;0.0;0.11304565414046001;0.12585745447719088
2300;55;0.003368640508885691;0.52697207953951264;56.669196531180354;244.57389836561214;0.0034265447306115896;1.0923742477594089;0.0;0.11288634588066275;0.12566741858723157
2300;56;9.1982112921266401e-05;0.52223169629939659;62.368429056574158;265.40723782846612;0.002111747334305197;0.70873866391139018;0.0;0.11125004788645181;0.12371664821557356
2300;57;0.0020684364860079933;0.52366487974607434;61.363247639381214;259.00431485882729;0.0022532665824822285;0.30805467594277047;0.0;0.11031119863550207;0.12259831042029606
2300;58;0.018653528284670345;0.51834302142072963;64.728840734390829;283.62571211837235;0.0014497128934207351;0.15930764718063983;0.0;0.11467518468308008;0.12780241160402803
2300;59;0.021402473311947584;0.524174468707855;59.778739804126083;256.61702875502533;0.0024215478792981512;0.39106579730230351;0.0;0.11226158065644286;0.1249223371032841
2300;60;0.020273948722913958;0.51876024507476415;64.442253678458584;281.60232416092009;0.001503463212013486;0.18263151511632714;0.0;0.11435193543696438;0.1274164296927415
2300;61;0.0047349520480775365;0.51861441623720828;65.493066110716953;282.42803606296644;0.0016056600268861733;0.17513788742604675;0.0;0.11279189387652742;0.12555475778687936
2300;62;0.0034041314162686653;0.51468775861491811;69.341876136818925;302.3232720825734;0.0011280130923509446;-0.0072957877122803438;0.0;0.11408208202989943;0.12709426719736236
