Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2100;10;0.05162510020755981;0.66037024213106632;3.3063382774533308;31.311263132977327;0.15163326209828876;0.05389948979819259;0.1263381798930677;0.14413942748424177;0.3009082433019129;0.034257695761918401;0.6605275307612043;3.3525146428968533;31.260110268640336;0.15258385118947476;0.051151846288854941;0.12427319371114313;0.14185803254608567;0.29576885497812427;0.039330469774736518;0.66094251416538119;3.3405853075460676;31.085967246066829;0.14853344281699071;0.051365226831601163;0.12161552318535;0.14385411826388023;0.29510521224281605;0.041805589639710754;0.66101177759733643;3.3309693872822335;31.054753330860855;0.051359284912035688;0.66039947116376607;3.3072595129386029;31.299466116957511;0.15117666804954571;0.055334387624617065;0.1263051000297086;0.14397903720545202;0.30068918658398841
2100;11;0.08541173425158613;0.66317467777856631;3.1136359026596101;30.118540062781616;0.1881488498191822;0.099433725915698545;0.12626660749425686;0.15067469317634516;0.30808497267203172;0.050457476158251247;0.66398410333898328;3.210982934598988;29.829267182930469;0.18980971315215478;0.05959192906361821;0.11921730195076372;0.14635029554388118;0.29454912295502844;0.090763437510710726;0.6641036377616043;3.0874450552733039;29.745412959903884;0.19346729936418039;0.09845908286560956;0.12377544801051019;0.15206425587877115;0.30671235137627517;0.084573767131995659;0.66355483803790483;3.1143783243365299;29.968745941199423;0.08541173425158613;0.6632948135615635;3.1136359026596101;30.071041231093588;0.18832659499236229;0.10610911111976762;0.12747920245414382;0.1489779690215417;0.30754516513123747
2100;12;0.038848938889103388;0.66120775882987237;3.334292115770928;30.975610200108562;0.1511988610083187;0.043211760971439972;0.12092244216621979;0.14407103186521725;0.294557893459027;0.035637661877068572;0.6613682270138701;3.3317699993230638;30.909433741473197;0.15225307580472439;-0.039567093983006174;0.12216595344061583;0.14256765517284278;0.29410593475877173;0.039562918061285486;0.66229625228298805;3.3266669625037464;30.53253546636288;0.15572543785315968;0.042501339099221269;0.11579838912307933;0.14568889300539647;0.29061849083446706;0.038460427739772103;0.66149471470742172;3.3342909952798614;30.858704540746377;0.038848938889103388;0.66140844640408314;3.334292115770928;30.893798809273189;0.15210036918306594;0.038603424990935054;0.1227450337010474;0.14147264707280585;0.29369360585872084
2100;13;0.01954381304008623;0.66312975789414208;3.3871003465394551;30.216871151196791;0.15594505248445317;0.024340315493009967;0.11083984244842501;0.14274003178264322;0.28159237611488008;0.033569699600501948;0.66194029993189474;3.3349295123593339;30.67833035948092;0.15649870786946185;0.03975158233493481;0.11989342564138977;0.14243829137933309;0.29135664487056284;0.015687527296386217;0.66367533954474467;3.3982396602931799;30.00415568978832;0.15778340175659539;0.020573686143299241;0.10546577444507201;0.14522510737422767;0.27837327143997986;0.015102622433827236;0.66359516569907739;3.4013530670009886;30.036634239319273;0.018658704376728921;0.66338974920974769;3.3899949460651833;30.114620711155698;0.15720250198779126;0.022319824480199202;0.10835547888412173;0.14403172419260507;0.28026768290553994
2100;14;0.003131061593597881;0.65973969981848712;3.4868990507684359;31.626279225014589;0.12100587394781132;0.015042155437683391;0.11232037361542217;0.14557562971760243;0.28681824777343512;0.0061984861690076044;0.65938742009876838;3.4737480816661748;31.770041755669801;0.12597113409128502;0.024464952635083748;0.11748556706277931;0.1427969187326438;0.28948009769962396;0.0029746082106352099;0.6597781132652375;3.4860546379488087;31.609992737355608;0.1191676857136373;0.013031258054363448;0.11211565054290959;0.1457049893274536;0.28673129034602829;0.0034439928038683919;0.65976310189211762;3.485112779542944;31.615991348143663;0.0020242180448359183;0.65977291227172885;3.4906668603273503;31.613486151859835;0.12024960033108344;0.014759817627041372;0.11181918587522144;0.14565954593410449;0.28634552537905572
2200;15;0.0095668784812163732;0.58106089173087982;13.905639336558043;99.923052299881036;0.028436418651728888;0.7003096217166771;0.083431055962374337;0.11533595203316924;0.22142959799438319;0.023674805314558352;0.57729240226217837;14.002540064060273;105.78041098657295;0.026558906598893071;0.59508324658814615;0.098863919492643046;0.11078069753428875;0.2340847443476439;0.0096763986734034711;0.58150704851746393;13.802669437192129;99.233575066119769;0.029095964918908299;1.0413655241944042;0.082698859773557287;0.116150358802945;0.22155473052043634;0.0096076236623837928;0.58127907311942628;13.822852408137072;99.578049714322106;0.0095636905201085618;0.58108227782113009;13.905876775901877;99.891031293005213;0.028318411709327918;0.62420579463964287;0.083568028843865522;0.11512553864626324;0.22134655707301593
2200;16;0.0095605402684946304;0.57743330109743407;14.706090921703058;105.71552408356962;0.020844557732361099;0.4661466375017298;0.090923234790863797;0.10797560527026769;0.22152410653016671;0.015844017385331696;0.57557123461622539;14.800667648909736;108.75765972337686;0.021574678370631418;0.36768179974355775;0.098335304149856279;0.10527210628652778;0.22699573113402832;0.0097057903218285835;0.57765998434697097;14.63765578412935;105.33907430188545;0.020963929401699971;0.67584782744223304;0.090644968249390626;0.10847612225224333;0.2217942991211887;0.0096017408555382783;0.57754516748565699;14.651836749748208;105.52502905420221;0.0095128963197480491;0.57754598728695883;14.706923241700043;105.53592633359958;0.020849281172324673;0.38934566913724211;0.091013215043524623;0.10750458115763449;0.22109208429379407
2200;17;0.0099908523637267307;0.57757369218451504;14.672447197950056;105.48414888209024;0.020893763950547074;0.50059710842962346;0.090686668915408913;0.10824022596759403;0.22154855043810154;0.01969532987811214;0.57599677195521493;14.555891440706384;108.00318668638853;0.021352234684678256;1.0654663729321001;0.09900983702099421;0.10670869724831984;0.22945932213195194;0.0093831369781281777;0.57763143115918703;14.655083037322882;105.38836685771474;0.020877976474986043;0.74281462024963218;0.090593764285378187;0.10838308118904687;0.22161643322566374;0.01032685569535377;0.57780724193156974;14.605324931758389;105.09797212508215;0.010017538021941386;0.57757826865053064;14.671871679189564;105.4767311433226;0.020796866978358152;0.48636964429160656;0.090712864618782876;0.10820643352104152;0.22154089529673526
2200;18;0.0099459058049434796;0.57549378268227402;15.152556981597481;108.96436355434948;0.017474182889888362;0.30742165852917225;0.09394355379225279;0.10503981850525941;0.22161312751364787;0.013841186366749308;0.57481479724663653;15.109115821455434;110.08242782657376;0.018554689806256276;0.75160842691204266;0.098168602109399927;0.10360441238325016;0.22485731741182519;0.0093668022089111354;0.57552985360936171;15.145725685450971;108.90329532286115;0.017411692531923553;0.44453422421266708;0.093814728562717886;0.10513692077298113;0.22158612605726258;0.010199418945271391;0.57561623598771394;15.11146750994078;108.75323356868716;0.0099459058049434796;0.57557573408274343;15.152450313154199;108.82908639722611;0.017457883779831138;0.27963171755622795;0.094012699945693459;0.10469772266864874;0.22130918139301098
2200;19;0.010126101042253846;0.57787369317379633;14.564344153110479;104.98350939353614;0.021561837263490324;0.58310179828033881;0.090497144975716856;0.10898187914078575;0.22219879382903282;0.020334230082883875;0.57627206148296994;14.3914857791986;107.51624651242265;0.022131017366396052;0.57094166291360438;0.099464680971228875;0.10773472009407657;0.23120993076448898;0.0099716076475756532;0.57813014185958345;14.456792223237137;104.55411076397921;0.021820583179661106;0.59222237657916565;0.090446430848799844;0.10971863839262049;0.22301835495680794;0.010746788680123827;0.57845434188385059;14.387769950780708;104.02873994137796;0.010159924269287761;0.57788693115227263;14.56362236576788;104.96237384671947;0.021473374384975607;0.58893604560097401;0.090580160470388832;0.10886423569401674;0.22216132364104341
